Ordem,Subordem,Grande_Grupo,Subgrupo,Textura_Principal_Componente,Horizonte_Principal_Componente,Erosao_Principal_Componente,Pedregosidade_Principal_Componente,Rochosidade_Principal_Componente,Relevo_Principal_Componente
AFLORAMENTOS DE ROCHAS,,,,,,,,,"ondulado, forte ondulado, montanhoso e escarpado"
AFLORAMENTOS DE ROCHAS,,,,,,,,,forte ondulado
AFLORAMENTOS DE ROCHAS,,,,,,,,,forte ondulado
AFLORAMENTOS DE ROCHAS,,,,,,,,,forte ondulado
ARGISSOLO,AMARELO,Aluminico,abruptico,arenosa/media,A moderado,,,,plano e suave ondulado
ARGISSOLO,VERMELHO-AMARELO,Distrofico,tipico,media/argilosa,A moderado,,,,ondulado e suave ondulado
ARGISSOLO,VERMELHO-AMARELO,Distrofico,tipico,media e argilosa,A moderado,,,,ondulado e forte ondulado
ARGISSOLO,VERMELHO-AMARELO,Distrofico,tipico,media/argilosa,A moderado,,,,ondulado e suave ondulado
ARGISSOLO,VERMELHO-AMARELO,Distrofico,tipico,media/argilosa,A moderado,,,,ondulado e suave ondulado
ARGISSOLO,VERMELHO-AMARELO,Distrofico,tipico,media/argilosa,A moderado,,,,ondulado e suave ondulado
ARGISSOLO,VERMELHO-AMARELO,Distrofico,tipico,media/argilosa,A moderado,,,,ondulado e suave ondulado
ARGISSOLO,VERMELHO-AMARELO,Distrofico,tipico,argilosa,A moderado,,,,suave ondulado e ondulado
ARGISSOLO,VERMELHO-AMARELO,Distrofico,tipico,media/argilosa,A moderado,,,,ondulado e suave ondulado
ARGISSOLO,VERMELHO-AMARELO,Distrofico,tipico,argilosa cascalhenta,A moderado,,,,forte ondulado
ARGISSOLO,VERMELHO-AMARELO,Distrofico,tipico,media/argilosa,A moderado,,,,ondulado e suave ondulado
ARGISSOLO,VERMELHO-AMARELO,Distrofico,tipico,media/argilosa,A moderado,,,,ondulado e suave ondulado
ARGISSOLO,VERMELHO-AMARELO,Distrofico,tipico,argilosa,A moderado,,,,suave ondulado e ondulado
ARGISSOLO,VERMELHO-AMARELO,Distrofico,tipico,media e argilosa,A moderado,,,,ondulado e forte ondulado
ARGISSOLO,VERMELHO-AMARELO,Distrofico,tipico,media e argilosa,A moderado,,,,ondulado e forte ondulado
ARGISSOLO,VERMELHO-AMARELO,Distrofico,petroplintico,media/media cascalhenta,A moderado e A fraco,,,,ondulado
ARGISSOLO,VERMELHO-AMARELO,Distrofico,tipico,media/argilosa,A moderado,,,,ondulado e suave ondulado
ARGISSOLO,VERMELHO-AMARELO,Distrofico,tipico,media/argilosa,A moderado,,,,ondulado e suave ondulado
ARGISSOLO,VERMELHO-AMARELO,Distrofico,tipico,media/argilosa,A moderado,,,,ondulado e suave ondulado
ARGISSOLO,VERMELHO-AMARELO,Distrofico,tipico,media/argilosa,A moderado,,,,ondulado e suave ondulado
ARGISSOLO,VERMELHO-AMARELO,Distrofico,tipico,argilosa,A moderado,,,,suave ondulado e ondulado
ARGISSOLO,VERMELHO-AMARELO,Distrofico,tipico,media/argilosa,A moderado,,,,ondulado e suave ondulado
ARGISSOLO,VERMELHO-AMARELO,Distrofico,tipico,argilosa,A moderado,,,,suave ondulado e ondulado
ARGISSOLO,VERMELHO-AMARELO,Distrofico,petroplintico,media/media cascalhenta,A moderado e A fraco,,,,ondulado
ARGISSOLO,VERMELHO-AMARELO,Distrofico,petroplintico,media/media cascalhenta,A moderado e A fraco,,,,ondulado
ARGISSOLO,VERMELHO-AMARELO,Distrofico,tipico,media/argilosa,A moderado,,,,ondulado e suave ondulado
ARGISSOLO,VERMELHO-AMARELO,Distrofico,tipico,media e argilosa,A moderado,,,,ondulado e forte ondulado
ARGISSOLO,VERMELHO-AMARELO,Distrofico,petroplintico,media/media cascalhenta,A moderado e A fraco,,,,ondulado
ARGISSOLO,VERMELHO-AMARELO,Distrofico,tipico,media e argilosa,A moderado,,,,ondulado e forte ondulado
ARGISSOLO,VERMELHO-AMARELO,Distrofico,tipico,argilosa,A moderado,,,,suave ondulado e ondulado
ARGISSOLO,VERMELHO-AMARELO,Distrofico,tipico,media/argilosa,A moderado,,,,ondulado e suave ondulado
ARGISSOLO,VERMELHO-AMARELO,Distrofico,tipico,media/argilosa,A moderado,,,,ondulado e suave ondulado
ESPODOSSOLO,FERRIHUMILUVICO,Hidromorfico,arenico,arenosa,A fraco e A moderado,,,,plano
ESPODOSSOLO,FERRIHUMILUVICO,Hidromorfico,arenico,arenosa,A fraco e A moderado,,,,plano
ESPODOSSOLO,FERRIHUMILUVICO,Hidromorfico,arenico,arenosa,A fraco e A moderado,,,,plano
ESPODOSSOLO,FERRIHUMILUVICO,Hidromorfico,arenico,arenosa,A fraco e A moderado,,,,plano
ESPODOSSOLO,FERRIHUMILUVICO,Hidromorfico,arenico,arenosa,A fraco e A moderado,,,,plano
ESPODOSSOLO,FERRIHUMILUVICO,Hidromorfico,arenico,arenosa,A fraco e A moderado,,,,plano
ESPODOSSOLO,FERRIHUMILUVICO,Hidromorfico,arenico,arenosa,A fraco e A moderado,,,,plano
ESPODOSSOLO,FERRIHUMILUVICO,Hidromorfico,arenico,arenosa,A fraco e A moderado,,,,plano
ESPODOSSOLO,FERRIHUMILUVICO,Hidromorfico,arenico,arenosa,A fraco e A moderado,,,,plano
ESPODOSSOLO,FERRIHUMILUVICO,Hidromorfico,arenico,arenosa,A fraco e A moderado,,,,plano
ESPODOSSOLO,FERRIHUMILUVICO,Hidromorfico,arenico,arenosa,A fraco e A moderado,,,,plano
ESPODOSSOLO,FERRIHUMILUVICO,Hidromorfico,arenico,arenosa,A fraco e A moderado,,,,plano
ESPODOSSOLO,FERRIHUMILUVICO,Hidromorfico,arenico,arenosa,A fraco e A moderado,,,,plano
ESPODOSSOLO,FERRIHUMILUVICO,Hidromorfico,arenico,arenosa,A fraco e A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano e suave ondulado
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano e suave ondulado
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano e suave ondulado
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano e suave ondulado
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano e suave ondulado
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano e suave ondulado
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano e suave ondulado
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano e suave ondulado
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano e suave ondulado
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano e suave ondulado
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano e suave ondulado
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano e suave ondulado
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano e suave ondulado
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano e suave ondulado
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano e suave ondulado
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano e suave ondulado
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano e suave ondulado
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A fraco e A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A fraco e A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano e suave ondulado
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano e suave ondulado
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano e suave ondulado
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano e suave ondulado
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A fraco e A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano e suave ondulado
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A fraco e A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano e suave ondulado
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano e suave ondulado
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano e suave ondulado
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano e suave ondulado
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano e suave ondulado
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano e suave ondulado
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano e suave ondulado
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado e A fraco,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano e suave ondulado
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano e suave ondulado
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
ESPODOSSOLO,HUMILUVICO,Hidro-hiperespesso,espessarenico,arenosa,A moderado,,,,plano
